"URL","NOMBRE","DESCRIPCION"
"https://www.zonajobs.com.ar/empleos/desarrolladores-sr.-ssr.-mainframe-cobol-db2-bbva-1892864.html?indiceAviso=3","Desarrolladores Sr./SSr. Mainframe COBOL DB2","Nuestra compañíaSomos BBVA una entidad global con más de 73 millones de clientes presente en más de 30 países. Trabajamos para ayudar a las personas a tomar las mejores decisiones financieras y poner al alcance de todos las oportunidades de esta nueva era. Nos guían nuestros valores: el cliente es lo primero pensamos en grande y somos un solo equipo. DescripciónEstamos en proceso de Seleccion de Desarrolladores Cobol nivel Sr. y SemiSr. con fuerte dominio de programación en entornos mainframe.Requisitos:COBOL Cics DB2Metodologias agiles y ScrumChangeman (deseable)Altamira (deseable)Experiencia en Sistemas bancariosOfrecemos muy buenos beneficios:  Ingreso directo al Banco bono anual home working capacitaciones en tecnologia y gestion trabajo flex semana extra de vacaciones etc.Horario: Lunes a Viernes de 9 a 18 hs.Lugar de trabajo: Retiro- Torre BBVA. (mientras dure el aislamiento el trabajo será remoto desde el hogar) ¡Si te apasionan los desafíos esta es tu oportunidad!En BBVA creemos que contar con un equipo formado por personas con diferentes maneras de contemplar el mundo y de enfrentarse a cada reto nos hace ser un mejor banco. Por este motivo apoyamos activamente la diversidad y la inclusión y queremos invitarte a enviar tu candidatura sea cual sea tu raza género edad condición sexual país de origen experiencia estudios...Cultivamos un ambiente de trabajo colaborativo e inclusivo que nos permita mostrar y desarrollar lo mejor de nosotros mismos. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/analista-sr-programador-java-swiss-medical-group-1892956.html?indiceAviso=0","Analista SR Programador (Java)","Swiss Medical Group incorporará para su Gerencia de Sistemas y tecnología un Analista SR Programador (Java)              Objetivo del puesto Diseñar y construir soluciones de desarrollo a partir de los estudios preliminares y definiciones suministradas llevando a cabo el desarrollo de las aplicaciones de acuerdo a los requerimientos establecidos y conforme a los estándares de calidad y seguridad prefijados con el fin de establecer sistemas y procesos eficientes de acuerdo a las especificaciones y requerimientos que se le suministran.                Tareas/Responsabilidades - Suministrar información sobre el estado y evolución de los proyectos en los que participa con estimación aproximada de tiempos y recursos de implementación.        - Idear la lógica de detalle y escribir el código fuente en las tecnologías de las que sea especialista que conforman los programas de acuerdo a las necesidades especificadas por el líder técnico o analista funcional en función de los proyectos o tareas de mantenimiento establecidas.        - Realizar las pruebas unitarias de integración técnicas y de regresión participar en pruebas funcionales y de aceptación de usuario para garantizar la calidad y estabilidad del producto.        - Colaborar directa o indirectamente en la implantación de sistemas y/o configuración de funcionalidades de acuerdo a las necesidades de proyectos del negocio o mantenimiento definidas.         - Adaptar las soluciones de software a las necesidades del negocio que surgen de usuario clave y usuarios en general concensuándola con otros referentes como ser el líder técnico y analistas en función de los proyectos o tareas de mantenimiento establecidas.        - Colaborar en la elaboración del manual del usuario y toda la documentación complementaria como ser procedimientos instructivos actividades de capacitación ayudas en línea ayudas personalizadas etc. para la puesta en vigencia de los sistemas su facilidad de uso y adopción.        - Participar en la gestión del conocimiento la gestión de configuración y documentación de los sistemas existentes y desarrollados estableciendo un control de relaciones de entre sus componentes.        - Trabajar en conjunto con proveedores y personal tercerizado en la implementación de proyectos y mantenimiento de soluciones                                                        RequisitosExperiencia con Metodologías Agiles Lenguaje de programación: JavaBase de datos: SQL Server / Oracle  Competencias:Flexibilidad Adaptabilidad a ambientes cambiantes vocación de servicio escucha activa Actitud proactiva capacidad de resolución de problemas trabajo en equipo. Manejo de conflicto.                           Lugar de trabajo: Capital Federal  Se ofrecen muy buenas condiciones laborales y posibilidades de desarrollo en una compañía en constante crecimiento. ¡Sumate a nuestro equipo! 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/analista-sr-programador-pl-sql-swiss-medical-group-1892951.html?indiceAviso=1","Analista SR Programador PL/SQL","Swiss Medical Group incorporará para su Gerencia de Sistemas y tecnología un Analista SR Programador PL/SQL           Objetivo del puestoDiseñar y construir soluciones de desarrollo a partir del análisis preliminar y definiciones suministradas llevando a cabo el desarrollo de las aplicaciones de acuerdo a los requerimientos establecidos y conforme a los estándares de calidad y seguridad prefijados con el fin de establecer sistemas y procesos eficientes de acuerdo a las especificaciones y requerimientos que se le suministran.           Tareas/ResponsabilidadesRealizar las pruebas unitarias de integración técnicas y de regresión participar en pruebas funcionales y de aceptación de usuario para garantizar la calidad y estabilidad del producto.Colaborar directa o indirectamente en la implantación de sistemas y/o configuración de funcionalidades de acuerdo a las necesidades de proyectos del negocio o mantenimiento definidas.  Requisitosse requiere conocimiento de programación de bases de datos Oracle (PL/SQL) no menor a 3 años. Competencias:Flexibilidad Adaptabilidad a ambientes cambiantes vocación de servicio escucha activa Actitud proactiva capacidad de resolución de problemas trabajo en equipo. Manejo de conflicto.                          Lugar de trabajo: Capital Federal Se ofrecen muy buenas condiciones laborales y posibilidades de desarrollo en una compañía en constante crecimiento. ¡Sumate a nuestro equipo!

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/analista-ssr-programador-java-react-swiss-medical-group-1892949.html?indiceAviso=2","Analista Ssr Programador (Java/React)","Swiss Medical Group incorporará para su Gerencia de Sistemas y tecnología un Analista Ssr Programador (Java/React)               Objetivo del puesto Diseñar y construir soluciones de desarrollo a partir de los estudios preliminares y definiciones suministradas llevando a cabo el desarrollo de las aplicaciones de acuerdo a los requerimientos establecidos y conforme a los estándares de calidad y seguridad prefijados con el fin de establecer sistemas y procesos eficientes de acuerdo a las especificaciones y requerimientos que se le suministran.    Suministrar información sobre el estado y evolución de los proyectos en los que participa con estimación aproximada de tiempos y recursos de implementación.            Tareas/Responsabilidades Idear la lógica de detalle y escribir el código fuente en las tecnologías de las que sea especialista que conforman los programas de acuerdo a las necesidades especificadas por el líder técnico o analista funcional en función de los proyectos o tareas de mantenimiento establecidas.        Realizar las pruebas unitarias de integración técnicas y de regresión participar en pruebas funcionales y de aceptación de usuario para garantizar la calidad y estabilidad del producto.        Colaborar directa o indirectamente en la implantación de sistemas y/o configuración de funcionalidades de acuerdo a las necesidades de proyectos del negocio o mantenimiento definidas.         Adaptar las soluciones de software a las necesidades del negocio que surgen de usuario clave y usuarios en general concensuándola con otros referentes como ser el líder técnico y analistas en función de los proyectos o tareas de mantenimiento establecidas.        Colaborar en la elaboración del manual del usuario y toda la documentación complementaria como ser procedimientos instructivos actividades de capacitación ayudas en línea ayudas personalizadas etc. para la puesta en vigencia de los sistemas su facilidad de uso y adopción.        Participar en la gestión del conocimiento la gestión de configuración y documentación de los sistemas existentes y desarrollados estableciendo un control de relaciones de entre sus componentes.        Trabajar en conjunto con proveedores y personal tercerizado en la implementación de proyectos y mantenimiento de soluciones                                                 RequisitosExperiencia con Metodologías Agiles  Lenguaje de programación: Java React  Base de datos: SQL Server Oracle     Competencias:Flexibilidad Adaptabilidad a ambientes cambiantes vocación de servicio escucha activa Actitud proactiva capacidad de resolución de problemas trabajo en equipo. Manejo de conflicto.                           Lugar de trabajo: Capital Federal  Se ofrecen muy buenas condiciones laborales y posibilidades de desarrollo en una compañía en constante crecimiento. ¡Sumate a nuestro equipo! 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/desarrollador-java-full-stack-instituto-tecnologico-de-buenos-aires-1892752.html?indiceAviso=4","Desarrollador Java Full Stack","El ITBA Universidad comprometida con el desarrollo del país y de la región incorporará una persona para desempeñarse como Analista Java Full Stack en el Departamento de TI.Su misión será generar nuevas soluciones informáticas ejecutando el relevamiento análisis e implementación de los sistemas y procesos de negocio a fin de proponer y desarrollas mejoras y nuevas soluciones.  ¿Cuáles son las principales tareas?Desarrollar las soluciones informáticas tanto en el backend como en el frontend y diseñar el modelo de datos que sustentará la nueva soluciónAcompañar a los usuarios en las pruebas funcionales.Coordinar y ejecutar las implementaciones¿Qué habilidades y conocimientos son requeridos?Título universitario o Estudiante de sistemas o en carreras afínConocimientos generales de Programación e Implementación de soluciones (Java Hibernate Apache Wicket. React.js) y de Base de Datos (MySQL SLQServer) ¿Cuál es nuestra propuesta?Beneficios: 21 días hábiles de vacaciones y gimnasioTrabajo full time Lugar de trabajo: Puerto MaderoIncorporación inmediata en relación de dependencia a plazo indeterminado.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/desarrollador-full-stack-capital-humano-1892941.html?indiceAviso=5","Desarrollador Full Stack","Capital Humano se encuentra en la búsqueda de un Desarrollador Full Stack para incorporarse a importante empresa de tecnología ubicada en Villa Urquiza.  Nos orientamos a personas proactivas y dinámicas con ganas de sumarse al equipo de tecnología de la empresa participando de diferentes proyectos.  Conocimientos técnicos:- Java - JavaScript- Angular/React- Bootstrap- HTML- Sistema operativo Linux o Unix- Metodologías Ágiles- Base de datos (Oracle y/o Postgres) Lugar de trabajo: Villa Urquiza          Horario: Lunes a viernes de 9 a 18 hs. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/analista-programador-abap-aliantec-1875949.html?indiceAviso=6","Analista Programador ABAP","¿Te imaginás ser parte del área de tecnología de una Empresa que se dedica al transporte de gas natural en el centro y norte de Argentina? Contamos con un interesante proyecto para Analista Programador ABAP ¿te interesa?  Es necesario que cuentes con:Entre 3 a 5 años de experiencia en posiciones similares realizando tareas de programación ABAP y análisis técnicos de requerimientos.Las siguientes aptitudes:      ◦ Proactividad.      ◦ Adaptabilidad al cambio.      ◦ Resolución de problemas.Estudios en carreras de Sistemas y/o afines. Tus responsabilidades serán:Realizar actividades de análisis y programación de aplicaciones de web a partir de las especificaciones entregadas por los analistas.Realizar la documentación técnica de cada uno de los desarrollos.Realizar pruebas unitarias.Mantener una comunicación fluida con los otros programadores y líderes de módulo para garantizar que la solución sea integral.Trabajar en forma coordinada con el sector de Tecnología que realiza el soporte y mantenimiento de la infraestructura de base de datos y servers. Beneficios:Gimnasio (Sport Club).Clases de Streching y Yoga (dentro de la compañía).Clases de Inglés.Obra Social: APSOT (Asociación del Personal Superior de la Organización Techint). Zona de trabajo: Almagro Ciudad de Buenos Aires.Horario laboral: Lunes a Viernes de 09:00 a 18:00 hs.Si esta posición es de tu interés postulate en nuestra web aliantec.com ó seguinos en Linkedin Twitter Facebook e Instagram y enterate de nuestras últimas ofertas laborales.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/desarrolladores-.net-trabajo-remoto-para-gente-del-interior-del-pais-bd-capital-humano-1887055.html?indiceAviso=7","Desarrolladores .Net - Trabajo Remoto para gente del Interior del País","Estamos buscando Desarrolladores .Net (C#) para trabajar en forma REMOTA FULL-TIME con una empresa de desarrollo e implementación de ERP líder regional en su rubro.Ofrecen: Flex. horaria Osde grupo Fliar Bonus capacitaciones desarrollo profesional 2 actualizaciones salariales al año (mínimo) semana adicional de vacaciones y otros.Se requiere experiencia en desarrollo con C# y Sql Server. Será muy valorada experiencia en Metodologías Ágiles (Scrum). .Horario: de lunes a viernes de 9 a 18 hs (flexible en las puntas a convenir)               Lugar: La empresa está ubicada CABA-Belgrano. Serán tomadas en cuenta personas que residan en Argentina ya que el trabajo es REMOTO.. 

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/desarrollador-fullstack-node-js-angular-fegma-recruitment-1892874.html?indiceAviso=8","Desarrollador Fullstack (Node Js + Angular)","Importante Empresa especializada en desarrollo mobile y web incorpora Desarrollador Fullstack (Node Js + Angular).El proyecto es para una financiera.Skills Tecnológicos solicitados:Ionic Cordova y NodeJSFront en Angular y Back en NodeJsBENEFICIOS – Prepaga-Horario flex-Home (1 día a la semana a partir del 3er mes)-Yoga-Deporte-Clases Ingles-cursos (ilimitados)en UDEMY.Ajustes de salario cada 6 meses. Beneficio referidos $50000 netos adicionales por ingreso referido .

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
"https://www.zonajobs.com.ar/empleos/desarrollador-frontend-android-ssr-sr-fegma-recruitment-1891121.html?indiceAviso=9","DESARROLLADOR FRONTEND ANDROID SSR/SR","Importante empresa nacional fundada en 1998 especializada en desarrollo mobile y web trabaja con empresas nacionales e internacionales con proyectos de alcance internacional sus clientes de diferentes rubros incorpora DESARROLLADOR FRONTEND ANDROID SSR/SR.Skills tecnologicos excluyentes: Android Architecture Components Live data MVVM Room Corutinas● Java y Kotlin● Clean Architecture o similar● Frameworks: Retrofit2 - Koin - RxJava - FirebaseBENEFICIOS - Prepaga-Horario flex-Home (1 día a la semana a partir del 3er mes)-Yoga-Deporte-Clases Ingles-cursos (ilimitados)en UDEMY.  Ajustes de salario cada 6 meses. Beneficio referidos $50000 netos adicionales por ingreso referido .El ingreso es directo con la empresa dada la situación actual seria 100 por ciento remoto hasta tanto se revierta la situación.

			El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Zonajobs sea responsable por ello."
