"URL","NOMBRE","DESCRIPCION"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-paid-search-leader-para-importante-agencia-de-marketing-digital-en-nunez-9780FFD1D4546D3861373E686DCF3405","Paid Search Leader - Para Importante Agencia de Marketing Digital","We are looking for a Bilingual Paid Search Leader, for our USA clients, with experience in Google Ads and Facebook Ads platforms.The Paid Search Lead manages the development of Paid Search campaigns and strategies to help achieve client goals. You'll partner with colleagues across channels to ensure that campaigns are creative; test new solutions and evaluate and improve campaigns to improve our client's business goals. This important, client-facing role is a balance of strategy and execution, and will lead by example within the team and helps to manage projects or daily activities.You Will:•	Plan and manage Paid Search (PPC/SEM) campaigns, including account setup, strategy development, organization, and management•	Oversee ongoing optimization efforts to meet campaign goals, including daily management of campaign budgets, on-site conversion actions, bid management, negative keyword strategies, website and category exclusions, ad creative, and landing page revisions based on performance history and our client's goals•	Use reporting, analytics, and trend tools, including Google Analytics, comScore, and Compete•	Audit both assigned client accounts and assist other accounts when needed•	Analyze paid search beta tests and new platforms/vendors•	Assist Client Services team with client communications around paid search knowledge, and recommendations to deliver a clear strategic vision to our client•	Forecast and plan paid search growth, and communicate opportunity with the client•	Be an advanced technical/discipline leader, and manage client communication without requiring Account Supervisor involvement•	Draw important analysis from data and make specific recommendations – i.e. adapted to change strategies and recommendations based on data sets•	Contribute to our thought leadership on PPC industry topics•	Make credible strategic recommendations, provide updates against goals and participate in QBRsYou Have:•	3+ years of experience managing large-scale, complex paid search campaigns.•	Well versed in success measurements, specifically in Branding/Awareness and Direct Response.•	In-depth understanding of Paid Search campaign management and optimization practices, and search retargeting.•	Experience with Paid Search Platforms like Marin, Kenshoo, DS3.•	GDN experience a plus.•	Google Certification (Fundamentals), Analytics and Adwords Certification.•	Understanding of Display Media, SEO, Affiliates, Feeds, Mobile, Social and Attribution and influence on Paid Search Activities.•	Desire to see things through to completion and deliver results.•	Experience mentoring and fostering the development of new talent.•	Bachelor’s degree."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-paid-search-leader-para-importante-agencia-de-marketing-digital-en-nunez-436CE6F3706EF95061373E686DCF3405","Paid Search Leader - Para importante Agencia de Marketing Digital","We are looking for a Bilingual Paid Search Leader, for our USA clients, with experience in Google Ads and Facebook Ads platforms.The Paid Search Lead manages the development of Paid Search campaigns and strategies to help achieve client goals. You'll partner with colleagues across channels to ensure that campaigns are creative; test new solutions and evaluate and improve campaigns to improve our client's business goals. This important, client-facing role is a balance of strategy and execution, and will lead by example within the team and helps to manage projects or daily activities.You Will:•	Plan and manage Paid Search (PPC/SEM) campaigns, including account setup, strategy development, organization, and management•	Oversee ongoing optimization efforts to meet campaign goals, including daily management of campaign budgets, on-site conversion actions, bid management, negative keyword strategies, website and category exclusions, ad creative, and landing page revisions based on performance history and our client's goals•	Use reporting, analytics, and trend tools, including Google Analytics, comScore, and Compete•	Audit both assigned client accounts and assist other accounts when needed•	Analyze paid search beta tests and new platforms/vendors•	Assist Client Services team with client communications around paid search knowledge, and recommendations to deliver a clear strategic vision to our client•	Forecast and plan paid search growth, and communicate opportunity with the client•	Be an advanced technical/discipline leader, and manage client communication without requiring Account Supervisor involvement•	Draw important analysis from data and make specific recommendations – i.e. adapted to change strategies and recommendations based on data sets•	Contribute to our thought leadership on PPC industry topics•	Make credible strategic recommendations, provide updates against goals and participate in QBRsYou Have:•	3+ years of experience managing large-scale, complex paid search campaigns.•	Well versed in success measurements, specifically in Branding/Awareness and Direct Response.•	In-depth understanding of Paid Search campaign management and optimization practices, and search retargeting.•	Experience with Paid Search Platforms like Marin, Kenshoo, DS3.•	GDN experience a plus.•	Google Certification (Fundamentals), Analytics and Adwords Certification.•	Understanding of Display Media, SEO, Affiliates, Feeds, Mobile, Social and Attribution and influence on Paid Search Activities.•	Desire to see things through to completion and deliver results.•	Experience mentoring and fostering the development of new talent.•	Bachelor’s degree."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-paid-social-leader-para-importante-agencia-de-marketing-digital-en-nunez-7196552ED44FFE0E61373E686DCF3405","Paid Social Leader - Para importante Agencia de Marketing Digital","The Paid Social Leader is responsible for the implementation and execution of Paid Social campaigns in line with the agreed activation strategy.  This role maintains, develops and exceeds client performance targets.Key Accountabilities:•	Ensures Paid Social campaigns are managed effectively to achieve expected performance targets •	Monitor and optimizes Paid Social campaign implementations•	Manage daily spend in line with targets and monthly budgets •	Liaison with experts from other teams including organic search, paid search and display •	Create and execute media plans that surpass client goals•	Develop a close working relationship with partners and technology suppliers •	Provide accurate client communication that details performance and return on investment via regular campaign reporting and analysis •	Liaise with other channels•	Mentor junior staff, helps to manage their projects and day-to-day activities ensuring all team tasks are executed on time and meet/exceed client expectations and campaign requirements•	Builds strong relationships across client services team and with client.  •	Assists with meetings, QBRs as needed•	Create internal and external written POVs and case studies to communicate complex subject matter in a digestible way•	Help ensure operational excellence is delivered across their assigned team/pod Qualifications: •	Detailed knowledge of Paid Social marketing techniques and platform buying tools•	Understanding of performance metrics and ability to spot trends or discrepancies.•	Fluency with Microsoft Excel and PowerPoint •	Ability to manipulate analyze and interpret large quantities of data•	Strong QA abilities with an eye for detail •	Strong organizational skills, project management ability and task delegation ability •	Excellent communication and presentation skills both verbal and written •	High levels of integrity, autonomy, and self-motivation•	A strong numerical and analytical background•	Media planning and presentation"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-administrativo-de-marketing-junior-en-pilar-5E3CDE3EE8F2B6E961373E686DCF3405","Administrativo de Marketing Junior","Para empresa dentro del Parque Industrial de Pilar, buscamos un ADMINISTRATIVO DE MARKETING JR.* Estudiante avanzado de carreras afines al marketing.* Conocimientos en CRM y email marketing.* Perfil comercial, trato con potenciales clientes a través del teléfono y mails.* Residir en Pilar o localidades aledañas.EXPERIENCIA EN:- Manejo de Whatsapp Business (Responder consultas que ingresan. Realizar segmentaciones, desarrollo de mensaje y contenido de envíos).- E-mail Marketing (Manejo de plataforma preferentemente Doppler/mailchimp).- Análisis de métricas (tasas de: crecimiento bbdd/inactividad/apertura/clics/CTR/leads).- Desarrollo de mensajes y contenidos.PRINCIPALES TAREAS:- Carga de potenciales clientes y envÍo de datos al sector comercial.- Asesorar a los potenciales clientes a través de los diferentes canales de comunicación.- Completar la base de datos del CRM (base actual y futura).- Potenciales clientes: Búsqueda, comunicación (telefónica en principio) y seguimiento de nuevos prospectos. Seguimiento de las interacciones con los contactos y su reflejo en el sistema.- Recopilar del área de ventas la información de contactos para ingresarlos al CRM.- Realizar reporte mensual de desempeño del período y formulación de objetivos para el período siguiente.Horario de trabajo: Lunes a Viernes 8 a 17 horas."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-encargadoa-de-marketing-para-desarrollar-canal-de-comercio-electronico-en-zarate-3501AAC145890C1461373E686DCF3405","encargado/a de márketing - Para desarrollar canal de comercio electronico","Desarrollo E-Commerce &amp; Mercado Libre Empresa busca,  incorporar en forma inmediata, un Líder de E-Commerce y Mercado Libre, para desarrollar y Liderar una nueva Unidades de Negocio. Objetivo pensar,desarrollar e implementar ventas Online. Tareas a Desarrollar: Desarrollo plataforma de E-Commerce  y Mercado Libre, siendo responsable por la atención pre y post venta, seguimiento de pedidos y seguimiento de logística de envíos. Gestionar publicaciones, respuestas a preguntas y mensajes. Carga de catálogos y productos en las plataformas, actualizaciones. Gestión de publicaciones.Atención on-line de clientes por los diferentes canales de contacto. Gestión de reclamos y procesamiento de devoluciones. Ejecución de tareas comerciales, administrativas y logísticas relacionadas con las operaciones de las plataformas digitales: presupuestos, carga de pedidos, preparación de pedidos, despacho de pedidos, atención de quejas y reclamos, seguimiento y atención de cumplimiento, post-venta.  Ejecución de campañas de marketing digital, con el fin de potenciar la adquisición de nuevos clientes, la fidelización de clientes actuales y el uso de nuestros canales transaccionales digitales. Requisitos  - Jóvenes entre 23 y 35 años,  - Total dominio de plataformas digitales, especialmente Mercado Libre, Mercado Pago, Mercado Shops, y / otras plataformas de E-commerce relacionadas. -  Experiencia en ventas digitales y plataformas digitales, con amplio conocimiento del mercado digital y estrategias de venta online. Manejo sólido de todo el circuito de Mercado Libre, experiencia en servicio y atención al cliente y resolución de problemas. - Manejo de E-commerce, Redes sociales, SEO, SEM, Google AdWords y Analytics, Cuenta publicitaria de Facebook y otras redes sociales.   - Excel avanzado. - Buen nivel de idioma inglés."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenador-grafico-marketing-digital-diseno-web-en-mar-del-plata-817E2ED18550075061373E686DCF3405","Diseñador Gráfico / Marketing Digital / Diseño web","Ventas E-Commerce/ Marketing Digital/Diseñador Gráfico/Importante empresa de retail del sector Bazar de Mar del Plata se encuentra a la búsqueda de un profesional para continuar e intensificar el desarrollo de su plataforma comercial y el manejo de sus redes sociales. Estamos a la búsqueda de una persona activa y con marcada visión comercial. Requisitos:--Experiencia en el desarrollo, gestión e implementación de productos digitales y sólidos conocimientos en ventas online.-Formación específica en diseño gráfico y digital. -Conocimientos avanzados de programas de: diseño gráfico (illustrator, Lightrooom, Photoshop,  etc), diseño web (programación ( no excluyente)).-Deberá demostrar sólidas competencias en la generación de Estrategias de Marketing y Publicidad Digital (SEM, SEO, Social Media Management, Ads Network Management, e-commerce)- Conocimientos en Presta Shop-La persona tendrá que tener alta predisposición para trabajo en equipo.-Se valorará experiencia en empresas de consumo masivo o afines.- Residencia en Mar del Plata Principales Tareas:-Gestionar los productos digitales teniendo en consideración: avances y desarrollos técnicos; análisis y evaluación del mercado, competencia y negocio.-Armado del plan de comunicación y marketing para cumplir con los objetivos comerciales previstos.-Diseño de contenido web-- Interaccion con clientes y seguidores a traves de redes sociales y plataforma comercial Por favor indicar pretensión salarial, no se tendrán en cuenta aquellas postulaciones que no indiquen remuneración pretendida"
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-disenadora-grafico-con-orientacion-a-marketing-digital-en-cordoba-C0DFF9F37BB0100A61373E686DCF3405","Diseñador/a Gráfico - Con orientación a Marketing Digital","Somos GRUPO MAX una gran empresa desarrollista.Buscamos a un Diseñador/a Gráfico Junior.Se requieren lo siguientes conocimientos:Conocimientos Excluyentes:Adobe Photoshop Adobe Illustraitor	Conocimientos Valorables (no-excluyentes):Adobe PremiereAfter Effect Media Coder  	DisponibilidadFull Time, Lunes a Viernes de 10 a 18 hs.Ofrecemos:Capacitación constante.Muy buen clima laboral.Crecimiento profesional.Muy buena remuneración."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-analista-de-marketing-digital-en-rosario-9830FEAB3A59B2A961373E686DCF3405","Analista de Marketing Digital","Nos encontramos en la búsqueda para incorporar a nuestro equipo de trabajo un Analista Web con experiencia excluyente en Google Ads. (Paid Media), Google Analytics, Tag Manager, Data Studio, Search Console, y manejo de Wordpress y Woocommerce. Con muy buen dominio de inglés.Los principales desafíos de la posición serán:*      Monitorear el sitio web. Implementar nuevas páginas de destino dentro del sitio, formularios y canales de contacto.*      Implementar procesos de medición. Tomar los datos y conformarlos en información, específicamente métricas.*      Administrar Google Analytics, Tag Manager e informes de Data Studio.*      Diseñar, implementar y monitorear campañas de Google Ads.*      Desarrollar e implementar KPIs orientados a la conversión.*      Auditoría SEO de la web y content audit."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-responsable-de-innovacion-en-marketing-y-relaciones-publicas-full-time-en-oficina-en-caseros-18A054DE79450AC261373E686DCF3405","Responsable de innovación en marketing y relaciones públicas - Full Time en oficina","Somos una desarrolladora inmobiliaria líder en el Partido de 3 de Febrero, Gran Buenos Aires. Buscamos una persona que le gusten los desafíos y que no le guste la rutina, para el área de innovación de Marketing y RRPP. Los resultados que se esperan de este nuevo puesto son programas de Marketing y Relaciones Públicas que funcionan y se convierten en nuevos sistemas de la empresa.El principal reto con el que te encontrarás será cuestionar los procesos ya establecidos y desarrollar nuevos proyectos que cambien el sistema de marketing y RRPP ya establecido para aumentar las ventas y los referidos. Como primer tarea trabajarás en un proyecto de lanzamiento de edificios muy exigente."
"https://www.computrabajo.com.ar/ofertas-de-trabajo/oferta-de-trabajo-de-especialista-de-email-marketing-full-time-en-caseros-00161CFA45076C9861373E686DCF3405","Especialista de Email Marketing - Full Time","Somos una desarrolladora inmobiliaria líder de CABA y GBA. Buscamos una persona que le gusten los desafíos y que no le guste la rutina, para nuestra vacante de Especialista en E-mail Marketing.Los resultados que se esperan de este nuevo puesto son campañas de E-mail Marketing que funcionan.El principal reto con el que te encontrarás será cuestionar las campañas actuales y desarrollar nuevas campañas para aumentar las ventas optimizando costos.Requisitos:-Experiencia en campañas de E-mail Marketing-Manejo de Excel avanzado-Experiencia con métricas"
